YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
2021,1,1,1,5,2021/01/01,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",600,557.0,-3.0,949,1004.0,15.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/01,10.07,,0.78,0.0,0.0,32.0,36,30,60,50.0,,21.0,28.0,1.0,,,,,1.0,,
2021,1,1,2,6,2021/01/02,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",600,558.0,-2.0,949,959.0,10.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/02,5.14,,0.0,0.0,0.0,33.0,34,32,340,280.0,,10.1,13.0,1.0,,,,,1.0,1.0,
2021,1,1,3,7,2021/01/03,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",600,558.0,-2.0,949,1004.0,15.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/03,5.82,,0.0,0.0,0.0,34.0,39,29,280,280.0,,14.1,19.0,1.0,,,,,,1.0,
2021,1,1,4,1,2021/01/04,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",600,559.0,-1.0,949,939.0,-10.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/04,6.49,,0.0,0.0,0.0,34.0,38,30,290,280.0,,18.1,25.9,1.0,1.0,,,,,1.0,
2021,1,1,5,2,2021/01/05,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",605,553.0,-12.0,952,931.0,-21.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/05,4.47,,0.0,0.0,0.0,38.0,51,29,290,290.0,,15.0,19.0,1.0,,,,,,1.0,
2021,1,1,6,3,2021/01/06,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",605,601.0,-4.0,952,939.0,-13.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/06,9.84,,0.0,0.0,0.0,37.0,45,31,80,80.0,,16.1,21.9,1.0,,,,,,1.0,
2021,1,1,7,4,2021/01/07,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",605,556.0,-9.0,952,933.0,-19.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/07,10.96,,0.0,0.0,0.0,36.0,39,33,20,40.0,,18.1,28.0,,,,,,,,
2021,1,1,8,5,2021/01/08,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",605,555.0,-10.0,952,934.0,-18.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/08,9.17,,0.0,0.0,0.0,34.0,35,33,350,350.0,,14.1,19.9,,,,,,,,
2021,1,1,9,6,2021/01/09,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",605,601.0,-4.0,952,943.0,-9.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/09,6.49,,0.0,0.0,0.0,33.0,33,29,330,350.0,,12.1,16.1,,,,,,,,
2021,1,1,10,7,2021/01/10,AA,944,STL,"St. Louis, MO",MIA,"Miami, FL",605,552.0,-13.0,952,931.0,-21.0,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",2021/01/10,6.71,,0.0,0.0,0.0,29.0,30,28,330,290.0,,12.1,15.0,,,,,,,,
